30, 20
10, 17, 19, 2, 19, 6, 15, 13, 17, 14, 9, 12, 17, 12, 2, 8, 3, 15, 16, 2, 8, 20, 7, 5, 12, 0, 5, 19, 16, 2
5, 5, 13, 17, 13, 17, 2, 8, 14, 6, 19, 3, 17, 4, 11, 16, 0, 20, 13, 14, 8, 6, 8, 4, 8, 15, 15, 1, 11, 10
8, 12, 3, 1, 9, 14, 7, 14, 2, 14, 9, 14, 10, 14, 1, 10, 15, 11, 0, 15, 15, 2, 11, 10, 2, 10, 9, 2, 0, 15
5, 14, 14, 11, 16, 18, 14, 13, 14, 15, 2, 10, 5, 10, 7, 12, 6, 15, 4, 11, 11, 17, 11, 12, 0, 10, 10, 5, 18, 12
19, 20, 4, 3, 17, 5, 7, 15, 3, 10, 15, 6, 0, 18, 15, 0, 9, 7, 5, 15, 1, 14, 8, 12, 9, 10, 7, 6, 19, 14
14, 14, 14, 0, 11, 20, 17, 20, 18, 7, 4, 4, 15, 14, 9, 17, 0, 12, 8, 13, 2, 19, 11, 15, 10, 5, 18, 4, 7, 12
1, 17, 1, 2, 14, 10, 11, 11, 15, 9, 7, 5, 5, 10, 3, 4, 8, 17, 1, 0, 6, 11, 18, 5, 12, 17, 15, 0, 18, 4
2, 19, 12, 4, 10, 8, 5, 13, 0, 5, 1, 3, 12, 17, 3, 4, 1, 14, 8, 7, 19, 8, 17, 2, 7, 6, 20, 19, 12, 20
10, 18, 1, 2, 17, 15, 15, 4, 15, 9, 4, 17, 19, 8, 8, 17, 16, 2, 0, 0, 4, 1, 13, 3, 6, 16, 19, 5, 14, 17
3, 7, 10, 13, 19, 20, 6, 13, 14, 2, 2, 16, 0, 14, 11, 9, 10, 19, 18, 17, 12, 4, 14, 20, 5, 6, 3, 20, 14, 19
3, 5, 17, 8, 14, 4, 7, 0, 3, 6, 3, 10, 17, 7, 10, 16, 6, 6, 19, 15, 18, 1, 13, 0, 17, 6, 3, 14, 2, 17
13, 2, 8, 12, 18, 16, 2, 14, 14, 3, 18, 0, 12, 4, 3, 5, 7, 13, 12, 4, 12, 14, 5, 13, 0, 4, 2, 15, 15, 16
1, 16, 0, 10, 19, 13, 2, 9, 10, 16, 16, 13, 6, 14, 1, 14, 15, 12, 6, 9, 14, 7, 12, 14, 15, 7, 1, 13, 19, 15
0, 16, 12, 18, 17, 16, 19, 13, 1, 2, 13, 20, 3, 8, 17, 7, 10, 7, 10, 2, 2, 20, 2, 12, 7, 15, 7, 17, 12, 17
8, 3, 5, 1, 3, 11, 20, 4, 2, 5, 0, 19, 20, 13, 14, 16, 14, 8, 13, 12, 0, 3, 17, 1, 18, 4, 14, 14, 0, 13
8, 9, 12, 11, 6, 11, 5, 8, 0, 16, 17, 3, 19, 6, 10, 7, 15, 9, 1, 13, 13, 10, 8, 2, 19, 8, 10, 0, 11, 7
19, 1, 2, 15, 4, 16, 4, 19, 1, 20, 19, 11, 19, 12, 8, 6, 15, 19, 4, 12, 5, 9, 11, 11, 17, 10, 12, 19, 12, 12
6, 13, 19, 0, 20, 0, 0, 9, 2, 0, 10, 12, 13, 2, 10, 9, 0, 0, 20, 8, 18, 20, 20, 5, 0, 3, 7, 2, 0, 10
10, 10, 18, 15, 15, 11, 8, 11, 2, 3, 15, 15, 17, 20, 4, 3, 15, 18, 8, 1, 16, 19, 8, 10, 9, 3, 15, 3, 13, 9
11, 18, 1, 3, 9, 1, 15, 8, 0, 5, 0, 13, 20, 11, 12, 15, 0, 4, 6, 17, 12, 6, 5, 10, 16, 5, 17, 7, 10, 0
